77.75.79.95 bot - "2016-12-06 10:44:31" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
45.55.247.82 - - "2016-12-06 17:04:02" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.247.82 - - "2016-12-06 17:04:11" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.247.82 - - "2016-12-06 17:04:17" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.247.82 - - "2016-12-06 17:04:32" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.247.82 - - "2016-12-06 17:04:46" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.247.82 - - "2016-12-06 17:05:22" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.247.82 - - "2016-12-06 17:05:52" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.247.82 - - "2016-12-06 17:06:37" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
148.251.136.8 - - "2016-12-06 23:14:25" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-06 23:19:02" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
