167.114.174.95 - - "2016-12-08 01:05:16" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; Dataprovider; https://www.dataprovider.com/spider/)"
148.251.136.8 - - "2016-12-08 04:39:48" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-08 04:41:06" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-08 04:47:06" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-08 04:47:22" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-08 04:50:25" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-08 04:50:46" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
108.180.68.235 - - "2016-12-08 05:48:42" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; EIE11;ENUSMCM; rv:11.0) like Gecko"
108.180.68.235 - - "2016-12-08 05:48:59" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; EIE11;ENUSMCM; rv:11.0) like Gecko"
108.180.68.235 - - "2016-12-08 05:49:12" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; EIE11;ENUSMCM; rv:11.0) like Gecko"
108.180.68.235 - - "2016-12-08 05:51:28" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; EIE11;ENUSMCM; rv:11.0) like Gecko"
108.180.68.235 - - "2016-12-08 05:52:24" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; EIE11;ENUSMCM; rv:11.0) like Gecko"
66.249.79.110 bot - "2016-12-08 07:32:49" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
163.172.65.10 bot - "2016-12-08 23:18:36" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)"
