163.172.66.99 bot - "2016-12-13 05:44:13" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)"
148.251.136.8 - - "2016-12-13 06:40:51" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-13 06:41:36" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-13 06:44:41" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-13 06:45:01" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-13 06:53:56" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-13 06:54:21" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-13 06:56:51" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2016-12-13 08:03:28" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
77.75.79.54 bot - "2016-12-13 10:36:22" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
95.85.23.15 - - "2016-12-13 19:23:58" http://viti.ca/journals/index.php/VJICBL/index 200 "SafeDNSBot (https://www.safedns.com/searchbot)"
63.243.252.59 bot - "2016-12-13 23:31:22" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
