217.69.133.245 bot - "2016-12-28 02:37:59" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
50.92.116.45 - - "2016-12-28 04:11:15" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
180.76.15.143 bot - "2016-12-28 04:15:04" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
77.75.77.109 bot - "2016-12-28 06:29:58" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
88.198.230.79 bot - "2016-12-28 07:46:46" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
88.198.230.79 bot - "2016-12-28 07:47:00" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
88.198.230.79 bot - "2016-12-28 07:48:21" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
88.198.230.79 bot - "2016-12-28 07:48:36" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
63.243.252.25 bot - "2016-12-28 14:27:59" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
45.55.174.66 - - "2016-12-28 15:35:56" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.174.66 - - "2016-12-28 15:36:06" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.174.66 - - "2016-12-28 15:36:12" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.174.66 - - "2016-12-28 15:36:31" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.174.66 - - "2016-12-28 15:36:41" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.174.66 - - "2016-12-28 15:37:26" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.174.66 - - "2016-12-28 15:37:46" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.174.66 - - "2016-12-28 15:38:21" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
66.249.75.48 bot - "2016-12-28 18:31:19" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
