66.249.79.110 bot - "2017-01-10 15:50:25" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
180.76.15.142 bot - "2017-01-10 16:46:09" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
148.251.136.8 - - "2017-01-10 19:11:16" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-01-10 19:12:45" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-01-10 19:17:02" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-01-10 19:17:39" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-01-10 19:33:57" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-01-10 19:34:28" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-01-10 19:43:24" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
40.143.1.4 - - "2017-01-10 20:32:17" http://viti.ca/journals/index.php/test/index 200 "NextGenSearchBot 1 (for information visit http://www.zoominfo.com/About/misc/NextGenSearchBot.aspx)"
40.143.1.4 - - "2017-01-10 20:32:42" http://viti.ca/journals/index.php/VJICBL/index 200 "NextGenSearchBot 1 (for information visit http://www.zoominfo.com/About/misc/NextGenSearchBot.aspx)"
148.251.136.8 - - "2017-01-10 23:44:58" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
