163.172.65.251 bot - "2017-03-05 02:19:10" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
207.46.13.84 bot - "2017-03-05 03:02:18" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
180.76.15.21 bot - "2017-03-05 05:42:56" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
180.76.15.30 bot - "2017-03-05 06:01:14" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
31.57.69.94 - - "2017-03-05 07:27:06" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
148.251.136.8 - - "2017-03-05 08:57:17" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 08:57:22" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 08:57:36" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 08:58:03" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 08:58:21" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 08:58:41" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 08:58:54" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 08:59:06" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
47.91.143.105 - - "2017-03-05 12:28:50" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
47.91.143.105 - - "2017-03-05 12:29:01" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
47.91.143.105 - - "2017-03-05 12:29:07" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
180.76.15.156 bot - "2017-03-05 13:06:40" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
124.123.70.72 - - "2017-03-05 15:03:26" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
148.251.136.8 - - "2017-03-05 17:42:04" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 17:42:16" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 17:42:26" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 17:42:34" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 17:42:44" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 17:42:58" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 17:43:15" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-05 17:44:39" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
202.170.60.248 - - "2017-03-05 23:14:46" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
