77.75.79.72 bot - "2017-04-14 00:14:42" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
5.9.18.7 - - "2017-04-14 02:28:43" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
5.9.18.7 - - "2017-04-14 02:42:21" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
5.9.18.7 - - "2017-04-14 02:43:37" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
5.9.18.7 - - "2017-04-14 03:01:07" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
5.9.18.7 - - "2017-04-14 03:02:39" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
5.9.18.7 - - "2017-04-14 03:03:37" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
5.9.18.7 - - "2017-04-14 03:05:22" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
5.9.18.7 - - "2017-04-14 03:07:44" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
5.9.18.7 - - "2017-04-14 03:08:49" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
51.255.65.56 bot - "2017-04-14 06:25:39" http://viti.ca/journals/index.php/VJIBL/article/download/6/3 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
