51.255.65.89 bot - "2017-04-20 02:41:43" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
174.7.184.98 - - "2017-04-20 02:59:58" http://viti.ca/journals/index.php/VJIBL/index 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:05" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:06" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:06" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:13" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:13" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:15" http://viti.ca/journals/index.php/VJIBL/index 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:17" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:19" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:22" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:23" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:26" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Xenu Link Sleuth/1.3.8"
174.7.184.98 - - "2017-04-20 03:00:26" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Xenu Link Sleuth/1.3.8"
