137.74.207.108 bot - "2017-06-05 00:58:10" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
66.249.79.136 bot - "2017-06-05 16:13:37" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.136 bot - "2017-06-05 16:43:36" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.138 bot - "2017-06-05 18:07:53" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.138 bot - "2017-06-05 18:25:07" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.134 bot - "2017-06-05 18:26:44" http://viti.ca/journals/index.php/VJIBL/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.138 bot - "2017-06-05 18:52:48" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.128 bot - "2017-06-05 19:37:05" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.159 bot - "2017-06-05 19:39:05" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.134 bot - "2017-06-05 19:58:44" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.138 bot - "2017-06-05 20:03:25" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
