94.199.151.22 - - "2017-08-16 03:28:59" http://viti.ca/journals/index.php/VJIBL/index 200 "Wotbox/2.01 (+http://www.wotbox.com/bot/)"
51.255.65.28 bot - "2017-08-16 04:27:31" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
66.249.73.93 bot - "2017-08-16 05:36:59" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
51.255.65.12 bot - "2017-08-16 05:44:24" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
66.249.65.130 bot - "2017-08-16 06:08:06" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
51.255.71.115 bot - "2017-08-16 06:10:56" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
66.249.65.130 bot - "2017-08-16 06:11:27" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.91 bot - "2017-08-16 06:43:51" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.93 bot - "2017-08-16 07:22:32" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
202.58.86.19 - - "2017-08-16 07:45:17" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
51.255.65.17 bot - "2017-08-16 08:36:35" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
