66.249.79.145 bot - "2017-09-06 00:39:31" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
52.70.147.154 - - "2017-09-06 02:19:29" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.71 Safari/534.24"
52.70.147.154 - - "2017-09-06 02:19:29" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.71 Safari/534.24"
52.70.147.154 - - "2017-09-06 02:19:32" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.71 Safari/534.24"
52.70.147.154 - - "2017-09-06 02:19:32" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.71 Safari/534.24"
52.70.147.154 - - "2017-09-06 02:19:40" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.71 Safari/534.24"
52.70.147.154 - - "2017-09-06 02:19:45" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.71 Safari/534.24"
52.70.147.154 - - "2017-09-06 02:19:45" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.71 Safari/534.24"
108.180.180.157 - - "2017-09-06 04:48:09" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
108.180.180.157 - - "2017-09-06 04:48:16" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
66.249.79.143 bot - "2017-09-06 05:38:51" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.68 bot - "2017-09-06 06:04:07" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.68 bot - "2017-09-06 06:27:19" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.143 bot - "2017-09-06 06:37:51" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.143 bot - "2017-09-06 07:21:49" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
217.182.132.20 bot - "2017-09-06 09:14:04" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
66.249.79.91 bot - "2017-09-06 09:53:48" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
180.76.15.28 bot - "2017-09-06 11:10:40" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.79.91 bot - "2017-09-06 13:07:21" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
180.76.15.8 bot - "2017-09-06 15:14:43" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.79.62 bot - "2017-09-06 17:40:41" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.62 bot - "2017-09-06 17:56:08" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.93 bot - "2017-09-06 18:03:29" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.32 bot - "2017-09-06 18:24:27" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.93 bot - "2017-09-06 19:01:23" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-09-06 19:04:46" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-09-06 19:09:54" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.62 bot - "2017-09-06 19:15:52" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.91 bot - "2017-09-06 19:16:44" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.95 bot - "2017-09-06 19:19:36" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
