175.144.193.63 - - "2017-09-14 03:34:13" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
45.55.225.14 - - "2017-09-14 05:08:56" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.225.14 - - "2017-09-14 05:34:12" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.225.14 - - "2017-09-14 05:35:15" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
66.249.66.95 bot - "2017-09-14 06:47:16" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
180.76.15.137 bot - "2017-09-14 13:18:08" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.69.63 bot - "2017-09-14 17:11:13" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.63 bot - "2017-09-14 18:08:03" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.68 bot - "2017-09-14 18:31:07" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.65 bot - "2017-09-14 18:32:53" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.68 bot - "2017-09-14 18:40:33" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.68 bot - "2017-09-14 18:47:52" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.63 bot - "2017-09-14 19:04:58" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.65 bot - "2017-09-14 19:14:30" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.94 bot - "2017-09-14 19:14:56" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.59 bot - "2017-09-14 19:15:19" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.59 bot - "2017-09-14 19:18:24" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.137 bot - "2017-09-14 19:23:01" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.65 bot - "2017-09-14 19:37:06" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
