207.46.13.155 bot - "2017-09-19 02:05:53" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.79.95 bot - "2017-09-19 04:58:37" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.91 bot - "2017-09-19 06:45:27" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.93 bot - "2017-09-19 08:03:54" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.95 bot - "2017-09-19 08:17:37" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
164.132.161.9 bot - "2017-09-19 14:09:40" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
66.249.79.36 bot - "2017-09-19 16:28:42" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.93 bot - "2017-09-19 16:31:35" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-09-19 19:40:45" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.32 bot - "2017-09-19 19:52:01" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-09-19 19:55:53" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.93 bot - "2017-09-19 20:10:50" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.32 bot - "2017-09-19 20:20:13" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.32 bot - "2017-09-19 23:33:53" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
