180.76.15.5 bot - "2017-09-23 01:52:51" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.79.32 bot - "2017-09-23 03:56:27" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.73 bot - "2017-09-23 03:57:21" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.62 bot - "2017-09-23 06:09:31" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.95 bot - "2017-09-23 06:38:02" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.93 bot - "2017-09-23 07:09:31" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-09-23 07:26:15" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-09-23 07:41:35" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.91 bot - "2017-09-23 07:54:14" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
217.182.132.186 bot - "2017-09-23 10:39:02" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
164.132.161.75 bot - "2017-09-23 10:44:30" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
51.255.65.95 bot - "2017-09-23 15:00:57" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
66.249.79.32 bot - "2017-09-23 15:59:23" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
217.182.132.28 bot - "2017-09-23 17:07:18" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
66.249.79.62 bot - "2017-09-23 17:55:08" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-09-23 18:58:56" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.62 bot - "2017-09-23 19:07:16" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.32 bot - "2017-09-23 19:17:07" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.62 bot - "2017-09-23 19:17:15" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.95 bot - "2017-09-23 19:20:03" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.93 bot - "2017-09-23 19:24:46" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.93 bot - "2017-09-23 19:33:04" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-09-23 19:36:11" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.32 bot - "2017-09-23 19:40:50" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.32 bot - "2017-09-23 19:43:00" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
