183.171.93.86 - - "2017-11-29 01:56:13" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_1 like Mac OS X) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0 Mobile/15B150 Safari/604.1"
66.249.79.95 bot - "2017-11-29 06:41:47" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.91 bot - "2017-11-29 06:51:14" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.32 bot - "2017-11-29 07:19:43" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
45.33.36.205 - 7 "2017-11-29 07:27:16" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "GuzzleHttp/6.2.1 curl/7.47.0 PHP/7.1.11"
45.33.36.205 - 7 "2017-11-29 07:27:16" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "GuzzleHttp/6.2.1 curl/7.47.0 PHP/7.1.11"
66.249.79.93 bot - "2017-11-29 07:40:20" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.32 bot - "2017-11-29 07:50:40" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
180.76.15.25 bot - "2017-11-29 07:54:20" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.79.93 bot - "2017-11-29 07:54:42" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.93 bot - "2017-11-29 07:59:15" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-11-29 08:14:52" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
46.229.168.68 - - "2017-11-29 11:01:59" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.68 - - "2017-11-29 11:02:17" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.68 - - "2017-11-29 11:02:36" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.70 - - "2017-11-29 11:02:41" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.70 - - "2017-11-29 11:03:03" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.70 - - "2017-11-29 11:03:24" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.79 - - "2017-11-29 11:07:32" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.79 - - "2017-11-29 11:07:54" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
94.199.151.22 - - "2017-11-29 12:35:58" http://viti.ca/journals/index.php/VJIBL/index 200 "Wotbox/2.01 (+http://www.wotbox.com/bot/)"
178.100.162.249 - - "2017-11-29 16:02:58" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
66.249.79.62 bot - "2017-11-29 18:34:45" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.91 bot - "2017-11-29 20:09:01" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-11-29 20:17:35" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
45.33.36.205 - 7 "2017-11-29 23:44:21" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "GuzzleHttp/6.2.1 curl/7.47.0 PHP/7.1.11"
45.33.36.205 - 7 "2017-11-29 23:44:21" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "GuzzleHttp/6.2.1 curl/7.47.0 PHP/7.1.11"
45.33.36.205 - 7 "2017-11-29 23:44:22" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "GuzzleHttp/6.2.1 curl/7.47.0 PHP/7.1.11"
