139.59.4.247 - 22 "2018-04-23 01:26:46" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
100.43.81.200 bot - "2018-04-23 02:07:50" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
82.193.102.149 bot - "2018-04-23 04:07:42" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:07:46" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:07:52" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:07:54" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:08:00" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:08:03" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:08:10" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:08:14" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:08:21" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:08:24" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:08:30" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:08:33" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
93.158.161.4 bot - "2018-04-23 04:08:34" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
82.193.102.149 bot - "2018-04-23 04:08:46" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
82.193.102.149 bot - "2018-04-23 04:08:59" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
157.55.39.199 bot - "2018-04-23 06:39:13" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.79 bot - "2018-04-23 06:42:58" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
196.52.84.31 - - "2018-04-23 08:24:02" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
54.36.149.17 bot - "2018-04-23 11:05:58" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
177.40.139.174 - 91 "2018-04-23 11:16:35" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
177.40.139.174 - 91 "2018-04-23 11:19:56" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
177.40.139.174 - 91 "2018-04-23 11:20:16" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:04:17" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:04:25" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:04:34" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:04:49" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:04:56" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:05:05" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:05:09" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
